#bit-address;#reg_name;#channel;#digit;#value
366;preamp;37;6;0
365;preamp;37;5;0
364;preamp;37;4;0
363;preamp;37;3;0
362;preamp;37;2;0
361;preamp;37;1;0
360;preamp;37;0;0
#bit-address;#reg_name;#channel;#digit;#value
359;preamp;36;7;1
358;preamp;36;6;0
357;preamp;36;5;0
356;preamp;36;4;0
355;preamp;36;3;0
354;preamp;36;2;0
353;preamp;36;1;0
352;preamp;36;0;0
#bit-address;#reg_name;#channel;#digit;#value
351;preamp;35;7;1
350;preamp;35;6;0
349;preamp;35;5;0
348;preamp;35;4;0
347;preamp;35;3;0
346;preamp;35;2;0
345;preamp;35;1;0
344;preamp;35;0;0
#bit-address;#reg_name;#channel;#digit;#value
343;preamp;34;7;1
342;preamp;34;6;0
341;preamp;34;5;0
340;preamp;34;4;0
339;preamp;34;3;0
338;preamp;34;2;0
337;preamp;34;1;0
336;preamp;34;0;0
#bit-address;#reg_name;#channel;#digit;#value
335;preamp;33;7;1
334;preamp;33;6;0
333;preamp;33;5;0
332;preamp;33;4;0
331;preamp;33;3;0
330;preamp;33;2;0
329;preamp;33;1;0
328;preamp;33;0;0
#bit-address;#reg_name;#channel;#digit;#value
327;preamp;32;7;1
326;preamp;32;6;0
325;preamp;32;5;0
324;preamp;32;4;0
323;preamp;32;3;0
322;preamp;32;2;0
321;preamp;32;1;0
320;preamp;32;0;0
#bit-address;#reg_name;#channel;#digit;#value
319;preamp;31;7;1
318;preamp;31;6;0
317;preamp;31;5;0
316;preamp;31;4;0
315;preamp;31;3;0
314;preamp;31;2;0
313;preamp;31;1;0
312;preamp;31;0;0
#bit-address;#reg_name;#channel;#digit;#value
311;preamp;30;7;1
310;preamp;30;6;0
309;preamp;30;5;0
308;preamp;30;4;0
307;preamp;30;3;0
306;preamp;30;2;0
305;preamp;30;1;0
304;preamp;30;0;0
#bit-address;#reg_name;#channel;#digit;#value
303;preamp;29;7;1
302;preamp;29;6;0
301;preamp;29;5;0
300;preamp;29;4;0
299;preamp;29;3;0
298;preamp;29;2;0
297;preamp;29;1;0
296;preamp;29;0;0
#bit-address;#reg_name;#channel;#digit;#value
295;preamp;28;7;1
294;preamp;28;6;0
293;preamp;28;5;0
292;preamp;28;4;0
291;preamp;28;3;0
290;preamp;28;2;0
289;preamp;28;1;0
288;preamp;28;0;0
#bit-address;#reg_name;#channel;#digit;#value
287;preamp;27;7;1
286;preamp;27;6;0
285;preamp;27;5;0
284;preamp;27;4;0
283;preamp;27;3;0
282;preamp;27;2;0
281;preamp;27;1;0
280;preamp;27;0;0
#bit-address;#reg_name;#channel;#digit;#value
279;preamp;26;7;1
278;preamp;26;6;0
277;preamp;26;5;0
276;preamp;26;4;0
275;preamp;26;3;0
274;preamp;26;2;0
273;preamp;26;1;0
272;preamp;26;0;0
#bit-address;#reg_name;#channel;#digit;#value
271;preamp;25;7;1
270;preamp;25;6;0
269;preamp;25;5;0
268;preamp;25;4;0
267;preamp;25;3;0
266;preamp;25;2;0
265;preamp;25;1;0
264;preamp;25;0;0
#bit-address;#reg_name;#channel;#digit;#value
263;preamp;24;7;1
262;preamp;24;6;0
261;preamp;24;5;0
260;preamp;24;4;0
259;preamp;24;3;0
258;preamp;24;2;0
257;preamp;24;1;0
256;preamp;24;0;0
#bit-address;#reg_name;#channel;#digit;#value
255;preamp;23;7;1
254;preamp;23;6;0
253;preamp;23;5;0
252;preamp;23;4;0
251;preamp;23;3;0
250;preamp;23;2;0
249;preamp;23;1;0
248;preamp;23;0;0
#bit-address;#reg_name;#channel;#digit;#value
247;preamp;22;7;1
246;preamp;22;6;0
245;preamp;22;5;0
244;preamp;22;4;0
243;preamp;22;3;0
242;preamp;22;2;0
241;preamp;22;1;0
240;preamp;22;0;0
#bit-address;#reg_name;#channel;#digit;#value
239;preamp;21;7;1
238;preamp;21;6;0
237;preamp;21;5;0
236;preamp;21;4;0
235;preamp;21;3;0
234;preamp;21;2;0
233;preamp;21;1;0
232;preamp;21;0;0
